,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond
Gilbert,15235506,141000,377500,192854.50632911394,181000.0,167520.0,231600.00000000003,35986.77908510056,518,4,9,6.556962025316456,7.0,6.0,7.0,0.7803161003645593,405,5,8,5.1265822784810124,5.0,5.0,5.0,0.4900834206225517,203.0,2.0,4.0,2.569620253164557,3.0,2.0,3.0,0.5473372443674285,314.0,3.0,5.0,3.9746835443037973,4.0,4.0,4.0,0.31924122959676804,159.0,2.0,3.0,2.0126582278481013,2.0,2.0,2.0,0.11250879009260241,289.0,2.0,4.0,3.6582278481012658,4.0,3.0,4.0,0.5034770371197165,204.0,2.0,4.0,2.5822784810126582,3.0,2.0,3.0,0.5215262349697911,273.0,3.0,4.0,3.4556962025316458,3.0,3.0,4.0,0.5012156594651513,237.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,237.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,553.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,243.0,3.0,4.0,3.0759493670886076,3.0,3.0,3.0,0.2666098608758891
IDOTRR,3704580,34900,169500,100123.78378378379,103000.0,55000.0,140040.0,33376.71011693227,176,2,7,4.756756756756757,5.0,3.6,6.0,1.140307107888178,205,2,8,5.54054054054054,6.0,4.0,7.0,1.5562525251134283,70.0,1.0,3.0,1.8918918918918919,2.0,1.0,2.0,0.39326156010301166,111.0,2.0,4.0,3.0,3.0,3.0,3.0,0.2357022603955159,72.0,1.0,3.0,1.945945945945946,2.0,1.0,3.0,0.5747437083869039,92.0,0.0,4.0,2.4864864864864864,2.0,1.6,4.0,1.0171207079469644,73.0,1.0,3.0,1.972972972972973,2.0,1.0,3.0,0.5520913011493704,147.0,3.0,4.0,3.972972972972973,4.0,4.0,4.0,0.16439898730535726,110.0,1.0,5.0,2.972972972972973,3.0,3.0,3.0,0.4992486847746815,107.0,1.0,5.0,2.891891891891892,3.0,2.0,3.0,0.5668521159185359,251.0,2.0,7.0,6.783783783783784,7.0,7.0,7.0,0.9467821272058298,104.0,1.0,3.0,2.810810810810811,3.0,2.0,3.0,0.4617501631978198
MeadowV,1675800,75000,151400,98576.4705882353,88000.0,78200.0,131540.0,23491.049609685513,76,4,6,4.470588235294118,4.0,4.0,5.0,0.6242642728467978,94,3,8,5.529411764705882,6.0,4.0,7.0,1.3284223283101428,34.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,63.0,3.0,4.0,3.7058823529411766,4.0,3.0,4.0,0.469668218313862,36.0,2.0,3.0,2.1176470588235294,2.0,2.0,2.4000000000000004,0.33210558207753593,42.0,1.0,4.0,2.4705882352941178,2.0,2.0,4.0,0.8744746321952062,37.0,2.0,4.0,2.176470588235294,2.0,2.0,2.4000000000000004,0.5285941398709244,62.0,1.0,4.0,3.6470588235294117,4.0,3.0,4.0,0.7859052479933757,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,115.0,3.0,7.0,6.764705882352941,7.0,7.0,7.0,0.9701425001453319,51.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
Mitchel,7657236,84500,271000,156270.1224489796,153500.0,118600.0,202060.00000000003,36486.62533360263,274,4,8,5.591836734693878,5.0,5.0,7.0,0.8640593957916219,263,4,9,5.36734693877551,5.0,5.0,7.0,0.9724084693648638,103.0,2.0,3.0,2.1020408163265305,2.0,2.0,2.200000000000003,0.30583887092059836,178.0,3.0,5.0,3.63265306122449,3.0,3.0,5.0,0.7553662894864431,105.0,1.0,3.0,2.142857142857143,2.0,2.0,3.0,0.40824829046386296,148.0,1.0,4.0,3.020408163265306,3.0,2.0,4.0,1.0101525445522108,108.0,2.0,3.0,2.204081632653061,2.0,2.0,3.0,0.40720550896397795,182.0,1.0,5.0,3.7142857142857144,4.0,3.0,4.0,0.7637626158259734,147.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,147.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,337.0,4.0,7.0,6.877551020408164,7.0,7.0,7.0,0.5257000515671337,150.0,3.0,4.0,3.061224489795918,3.0,3.0,3.0,0.24222607082590247
NAmes,32815593,87500,345000,145847.08,140000.0,110000.0,180300.0,33075.345450263805,1206,3,8,5.36,5.0,4.400000000000002,6.0,0.8233208019096458,1303,3,9,5.791111111111111,6.0,5.0,7.0,1.1322824259271589,468.0,2.0,4.0,2.08,2.0,2.0,2.0,0.30296157229212134,694.0,2.0,4.0,3.0844444444444443,3.0,3.0,3.0,0.30905642367676656,474.0,1.0,3.0,2.1066666666666665,2.0,2.0,3.0,0.33700360320244144,602.0,1.0,4.0,2.6755555555555555,2.0,2.0,4.0,0.8947155263075929,496.0,1.0,4.0,2.2044444444444444,2.0,2.0,3.0,0.47526099763500024,825.0,1.0,5.0,3.6666666666666665,4.0,3.0,4.0,0.7379992257061367,677.0,2.0,5.0,3.008888888888889,3.0,3.0,3.0,0.16342077348473544,677.0,2.0,5.0,3.008888888888889,3.0,3.0,3.0,0.1887721394563314,1531.0,1.0,7.0,6.804444444444444,7.0,7.0,7.0,0.7481988955495638,673.0,2.0,4.0,2.991111111111111,3.0,3.0,3.0,0.18877213945633134
NPkVill,1284250,127500,155000,142694.44444444444,146000.0,127900.0,149800.0,9377.31452910575,54,6,6,6.0,6.0,6.0,6.0,0.0,50,5,6,5.555555555555555,6.0,5.0,6.0,0.5270462766947299,18.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,34.0,3.0,4.0,3.7777777777777777,4.0,3.0,4.0,0.4409585518440984,18.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,17.0,1.0,2.0,1.8888888888888888,2.0,1.8,2.0,0.3333333333333333,19.0,2.0,3.0,2.111111111111111,2.0,2.0,2.2,0.3333333333333333,27.0,2.0,4.0,3.0,3.0,2.0,4.0,0.7071067811865476,27.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,63.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
NWAmes,13800655,82500,299800,189050.0684931507,182900.0,152000.0,241200.0,37172.21810645119,462,5,8,6.328767123287672,6.0,5.2,7.0,0.7275299635018467,434,5,9,5.945205479452055,6.0,5.0,7.0,0.864266081695654,159.0,2.0,4.0,2.1780821917808217,2.0,2.0,3.0,0.4197375421162564,258.0,3.0,5.0,3.5342465753424657,4.0,3.0,4.0,0.5292077879251295,157.0,2.0,3.0,2.1506849315068495,2.0,2.0,3.0,0.36021725222088496,183.0,1.0,4.0,2.506849315068493,2.0,2.0,4.0,0.8680003787638845,174.0,2.0,4.0,2.3835616438356166,2.0,2.0,3.0,0.5433981808515885,242.0,2.0,4.0,3.315068493150685,3.0,3.0,4.0,0.5237872853015156,221.0,3.0,4.0,3.0273972602739727,3.0,3.0,3.0,0.16436770598316275,219.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,503.0,3.0,7.0,6.890410958904109,7.0,7.0,7.0,0.5416447132888772,222.0,2.0,4.0,3.041095890410959,3.0,3.0,3.0,0.2602539445951226
NoRidge,13747108,190000,755000,335295.31707317074,301500.0,250000.0,430000.0,121412.65864036564,325,7,10,7.926829268292683,8.0,7.0,9.0,0.8482406469404488,214,5,7,5.219512195121951,5.0,5.0,6.0,0.5706222534195112,125.0,3.0,4.0,3.048780487804878,3.0,3.0,3.0,0.21808478995509087,170.0,4.0,5.0,4.146341463414634,4.0,4.0,5.0,0.3578390427102735,85.0,2.0,3.0,2.073170731707317,2.0,2.0,2.0,0.26365165488187475,161.0,3.0,4.0,3.926829268292683,4.0,4.0,4.0,0.2636516548818748,125.0,2.0,4.0,3.048780487804878,3.0,3.0,3.0,0.384136662673268,134.0,2.0,5.0,3.268292682926829,3.0,3.0,4.0,0.6334189073552524,124.0,3.0,4.0,3.024390243902439,3.0,3.0,3.0,0.15617376188860607,124.0,3.0,4.0,3.024390243902439,3.0,3.0,3.0,0.15617376188860607,287.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,125.0,3.0,4.0,3.048780487804878,3.0,3.0,3.0,0.2180847899550909
NridgHt,24352838,154000,611657,316270.6233766234,315000.0,202500.0,438292.4,96392.54495442318,636,6,10,8.25974025974026,8.0,7.0,9.400000000000006,0.9921083000437609,385,5,5,5.0,5.0,5.0,5.0,0.0,258.0,2.0,4.0,3.3506493506493507,3.0,3.0,4.0,0.5069577415751669,356.0,4.0,5.0,4.623376623376624,5.0,4.0,5.0,0.4877165116767455,154.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,306.0,3.0,4.0,3.9740259740259742,4.0,4.0,4.0,0.16010078848765158,270.0,3.0,4.0,3.5064935064935066,4.0,3.0,4.0,0.5032362797401965,316.0,4.0,5.0,4.103896103896104,4.0,4.0,4.400000000000006,0.30712656333452065,231.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,231.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,539.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,236.0,3.0,4.0,3.064935064935065,3.0,3.0,3.0,0.24802707501094026
OldTown,14489459,37900,475000,128225.30088495575,119000.0,87000.0,161000.0,52650.583184920484,609,3,10,5.389380530973451,5.0,4.0,7.0,1.2916879067894627,718,2,9,6.353982300884955,6.0,4.0,8.0,1.4449441040987223,233.0,1.0,4.0,2.061946902654867,2.0,2.0,2.0,0.36063401117010885,327.0,2.0,4.0,2.893805309734513,3.0,2.0,3.0,0.46985620631679653,254.0,1.0,4.0,2.247787610619469,2.0,2.0,3.0,0.5093934322051121,322.0,1.0,4.0,2.849557522123894,3.0,2.0,4.0,0.9469993865782171,255.0,1.0,4.0,2.256637168141593,2.0,2.0,3.0,0.5942997238939964,440.0,1.0,5.0,3.893805309734513,4.0,4.0,4.0,0.46985620631679664,317.0,1.0,5.0,2.8053097345132745,3.0,2.0,3.0,0.5321520841901914,319.0,1.0,4.0,2.8230088495575223,3.0,2.0,3.0,0.4673269063738852,758.0,2.0,7.0,6.707964601769912,7.0,5.200000000000001,7.0,0.8311074359938967,331.0,2.0,4.0,2.9292035398230087,3.0,3.0,3.0,0.2902220258234582
SWISU,3564784,60000,200000,142591.36,139500.0,107200.0,185200.0,32622.91767924302,136,2,7,5.44,6.0,4.4,6.600000000000001,1.0832051206181281,148,3,9,5.92,6.0,4.4,8.0,1.5253414918196735,51.0,1.0,3.0,2.04,2.0,2.0,2.0,0.3511884584284246,79.0,3.0,4.0,3.16,3.0,3.0,4.0,0.3741657386773941,49.0,1.0,3.0,1.96,2.0,2.0,2.0,0.35118845842842467,77.0,1.0,4.0,3.08,4.0,2.0,4.0,1.0376254944182253,52.0,1.0,3.0,2.08,2.0,1.0,3.0,0.7023769168568492,97.0,3.0,4.0,3.88,4.0,3.4000000000000004,4.0,0.33166247903553997,73.0,2.0,3.0,2.92,3.0,3.0,3.0,0.27688746209726917,76.0,3.0,4.0,3.04,3.0,3.0,3.0,0.19999999999999996,166.0,2.0,7.0,6.64,7.0,5.800000000000001,7.0,1.1135528725660044,71.0,2.0,4.0,2.84,3.0,2.0,3.0,0.4725815626252609
Sawyer,10122692,62383,190000,136793.13513513515,135000.0,110530.0,167100.0,22345.129156542916,372,4,6,5.027027027027027,5.0,4.0,6.0,0.5227161143927312,430,3,9,5.8108108108108105,5.0,5.0,8.0,1.2350550503583926,150.0,2.0,3.0,2.027027027027027,2.0,2.0,2.0,0.16326908396901554,232.0,3.0,4.0,3.135135135135135,3.0,3.0,4.0,0.3442014512209155,159.0,1.0,3.0,2.1486486486486487,2.0,2.0,3.0,0.39456695292512084,201.0,1.0,4.0,2.7162162162162162,2.0,2.0,4.0,0.8993189244937585,158.0,1.0,3.0,2.135135135135135,2.0,2.0,3.0,0.38193179927384524,259.0,1.0,4.0,3.5,4.0,2.3000000000000007,4.0,0.831733624376103,221.0,2.0,3.0,2.9864864864864864,3.0,3.0,3.0,0.11624763874381927,222.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,495.0,3.0,7.0,6.6891891891891895,7.0,5.0,7.0,0.8096282873746086,224.0,3.0,4.0,3.027027027027027,3.0,3.0,3.0,0.16326908396901554
SawyerW,11006792,76000,320000,186555.7966101695,179900.0,119712.8,264204.0,55651.997819510005,373,4,8,6.322033898305085,6.0,5.0,7.0,0.9366241281601614,304,3,8,5.1525423728813555,5.0,5.0,6.0,0.7147114035853647,150.0,1.0,3.0,2.542372881355932,3.0,2.0,3.0,0.535692716161468,226.0,2.0,5.0,3.830508474576271,4.0,3.0,4.0,0.4606046390860962,118.0,1.0,3.0,2.0,2.0,2.0,2.0,0.26261286571944514,195.0,2.0,4.0,3.305084745762712,4.0,2.0,4.0,0.8560985539490422,159.0,2.0,3.0,2.694915254237288,3.0,2.0,3.0,0.46439568770962575,205.0,2.0,5.0,3.4745762711864407,4.0,3.0,4.0,0.652737793990127,177.0,2.0,4.0,3.0,3.0,3.0,3.0,0.18569533817705186,177.0,2.0,4.0,3.0,3.0,3.0,3.0,0.1856953381770519,411.0,5.0,7.0,6.966101694915254,7.0,7.0,7.0,0.2603778219616477,177.0,2.0,4.0,3.0,3.0,3.0,3.0,0.2626128657194451
Somerst,19382666,144152,423000,225379.83720930232,225500.0,162250.0,305238.5,56177.55588821204,631,6,10,7.337209302325581,7.0,6.0,8.0,0.8060136492243652,433,5,6,5.034883720930233,5.0,5.0,5.0,0.18456144639815777,256.0,2.0,4.0,2.9767441860465116,3.0,3.0,3.0,0.37500569991108174,358.0,4.0,5.0,4.162790697674419,4.0,4.0,5.0,0.3713398670404582,172.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,338.0,3.0,4.0,3.9302325581395348,4.0,4.0,4.0,0.2562488530553892,264.0,2.0,4.0,3.0697674418604652,3.0,3.0,4.0,0.3997263085550237,337.0,2.0,5.0,3.9186046511627906,4.0,4.0,4.0,0.38241081325684184,258.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,258.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,602.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,264.0,3.0,4.0,3.0697674418604652,3.0,3.0,3.0,0.25624885305538914
StoneBr,7762475,170000,556581,310499.0,278000.0,188100.0,476614.20000000007,112969.67664045958,204,7,10,8.16,8.0,7.4,9.0,0.6879922480183431,125,2,7,5.0,5.0,5.0,5.0,0.7637626158259734,79.0,3.0,4.0,3.16,3.0,3.0,4.0,0.37416573867739406,109.0,4.0,5.0,4.36,4.0,4.0,5.0,0.4898979485566357,51.0,2.0,3.0,2.04,2.0,2.0,2.0,0.20000000000000007,91.0,2.0,4.0,3.64,4.0,3.0,4.0,0.6377042156569663,84.0,3.0,4.0,3.36,3.0,3.0,4.0,0.4898979485566356,97.0,3.0,5.0,3.88,4.0,3.0,4.600000000000001,0.6000000000000001,76.0,3.0,4.0,3.04,3.0,3.0,3.0,0.20000000000000007,75.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,171.0,4.0,7.0,6.84,7.0,7.0,7.0,0.6244997998398398,78.0,3.0,4.0,3.12,3.0,3.0,3.6000000000000014,0.33166247903554
Timber,9205403,137500,378500,242247.44736842104,228475.0,173500.0,321350.00000000006,64845.65154926355,272,5,9,7.157894736842105,7.5,5.0,8.0,1.1974368073260142,195,4,6,5.131578947368421,5.0,5.0,6.0,0.41401479485112447,103.0,2.0,4.0,2.710526315789474,3.0,2.0,3.0,0.5651067699567265,158.0,3.0,5.0,4.157894736842105,4.0,3.0,5.0,0.6378306048725562,78.0,2.0,3.0,2.0526315789473686,2.0,2.0,2.0,0.22629428592141432,132.0,2.0,4.0,3.473684210526316,4.0,2.0,4.0,0.7965073116938679,109.0,2.0,4.0,2.8684210526315788,3.0,2.0,4.0,0.6225949458290158,143.0,2.0,5.0,3.763157894736842,4.0,3.0,4.0,0.5419788829194208,115.0,3.0,4.0,3.026315789473684,3.0,3.0,3.0,0.16222142113076254,115.0,3.0,4.0,3.026315789473684,3.0,3.0,3.0,0.16222142113076254,263.0,5.0,7.0,6.921052631578948,7.0,7.0,7.0,0.35879520224642053,115.0,2.0,4.0,3.026315789473684,3.0,3.0,3.0,0.2834957557490734
